id,id_str,tweet,"label (0:คนปกติ, 1:io)",language,conversation_id,created_at,date,time,timezone,place,replies_count,likes_count,retweets_count,user_id,user_id_str,screen_name,name,link,mentions,hashtags,cashtags,urls,photos,thumbnail,quote_url,video,geo,near,source,time_update,translate,trans_src,trans_dest,keyword
1162571248980787201,1162571248980787201,@zeeill บ้านเมืองเดือดร้อนวุ่นวายขนาดนี้ ไม่ให้กำลังใจตำรวจที่พยายามทำให้บ้านเมือสงบ แล้วจะไปให้กำลังใจม็อบเด็กเมือวานซืนที่มีแกนนำปลุกปั่นแล้วชิ่งหนีไปอยู่เมกางั้นเนอะ คนเดือดร้อนคือประชาชนทำมาหากินกันดีๆนี่เอง อยากให้พี่จีนหมดความอดทนแล้ว จัดชุดใหญ่ไฟกระพริบโชว์เด็กสักที,1,th,1162341002704609280,2019-08-17 10:45:59 SE Asia Standard Time,2019-08-17,10:45:59,700,,0,5,1,1099730141654147072,1099730141654147072,007Unbelievable,Unbeliveable,https://twitter.com/007Unbelievable/status/1162571248980787201,,,,,,,,0,,,,1603127298878,,,,บ้านเมืองเดือดร้อน
1251351712532557825,1251351712532557825,@nomi_nee เห็นด้วยคะ ดีมาก เวลาบ้านเมืองเดือดร้อนต้องระดมสมองกันแบบจริงจัง เอาให้รอด บ้านเมืองรอด ประชาชนก็รอด,1,th,1251133929391747072,2020-04-18 10:27:51 SE Asia Standard Time,2020-04-18,10:27:51,700,,0,3,1,1099730141654147072,1099730141654147072,007Unbelievable,Unbeliveable,https://twitter.com/007Unbelievable/status/1251351712532557825,,,,,,,,0,,,,1603127276312,,,,บ้านเมืองเดือดร้อน
1045622641162215424,1045622641162215424,@DeFirenze พวกจาบจ้วงสถาบันก็เช่นกัน,1,th,1045620937800876032,2018-09-28 17:33:59 SE Asia Standard Time,2018-09-28,17:33:59,700,,0,3,0,635328646,635328646,actions34,Kaitox'n wonderful🌏,https://twitter.com/actions34/status/1045622641162215424,,,,,,,,0,,,,1603128157824,,,,จาบจ้วงสถาบัน
1293107504423952385,1293107504423952385,“สุดารัตน์” ไม่เห็นด้วยจาบจ้วงสถาบัน  https://t.co/4DDSttT1jI via @มติชนสุดสัปดาห์,0,th,1293107504423952385,2020-08-11 15:50:28 SE Asia Standard Time,2020-08-11,15:50:28,700,,1,0,2,148764351,148764351,conandroid,\7\7 บุญเฉิม เกินเยียวยา🍊🍊,https://twitter.com/conandroid/status/1293107504423952385,,,,https://www.matichonweekly.com/hot-news/article_335148,,,,0,,,,1603129947131,,,,จาบจ้วงสถาบัน
1293147849199214593,1293147849199214593,@Sulovebossss ป้าหน่อยออกมาประกาศเพื่อไทยไม่สนับสนุนการจาบจ้วงสถาบัน .. ส่วนพรรคส้มวันนี้กริ๊บ จนสาวกถามหาว่าจะเอาไง .. สรุปประมาณนี้อะค่ะ,1,th,1293143721584730113,2020-08-11 18:30:47 SE Asia Standard Time,2020-08-11,18:30:47,700,,0,5,3,635328646,635328646,actions34,Kaitox'n wonderful🌏,https://twitter.com/actions34/status/1293147849199214593,,,,,,,,0,,,,1603127380825,,,,จาบจ้วงสถาบัน
1293154303218077696,1293154303218077696,จะว่าไปถ้าคิดในเรื่องฐานเสียง เพื่อไทยคงไม่ได้เสียอะไรกับเรื่องไม่สนับสนุนการจาบจ้วงสถาบัน แค่เสียภาพนิดหน่อยที่จะอาศัยเด็กไปจัดการศัตรูตัวเอง .. แต่พรรคส้มนี่ถ้าขาดเสียงเด็กไป คงเป็นพรรคเกรด B แน่ๆ คงไม่ออกมาประกาศอะไรแบบเพื่อไทยแน่ๆ,1,th,1293154303218077696,2020-08-11 18:56:26 SE Asia Standard Time,2020-08-11,18:56:26,700,,0,2,5,635328646,635328646,actions34,Kaitox'n wonderful🌏,https://twitter.com/actions34/status/1293154303218077696,,,,,,,,0,,,,1603127380756,,,,จาบจ้วงสถาบัน
1293197927972626432,1293197927972626432,ม๊อบมุ้งมิ้ง ออกประกาศตลอดขอรับบริจาค เพื่อค่าใช้จ่ายจาบจ้วงสถาบัน King ...แต่ไอ้สัส เสือกเรียกร้องห้ามสถาบัน รับบริจาค เหี้ยหรือไม่เหี้ยคิดดู,1,th,1293197927972626432,2020-08-11 21:49:47 SE Asia Standard Time,2020-08-11,21:49:47,700,,1,52,19,17023417,17023417,IOio2008,YahooGoogle,https://twitter.com/IOio2008/status/1293197927972626432,,,,,,,,0,,,,1603130580358,,,,จาบจ้วงสถาบัน
1294245104194998273,1294245104194998273,@jinnychamp คุณอยากได้ รบ แบบไหนอีก 2 ปี ก็ไปเลือกตั้งค่ะ ไม่ใช่ก่อม็อบป่วนชาติ จาบจ้วงสถาบัน ทวงอำนาจให้พวก สส.ฝ่ายค้านที่ไม่เคยทำอะไรสำเร็จ,1,th,1294236688495992832,2020-08-14 19:10:53 SE Asia Standard Time,2020-08-14,19:10:53,700,,0,0,0,765518401800245248,765518401800245248,NuuNeoI18,sしim ชม้อยศรี︻︼─一,https://twitter.com/NuuNeoI18/status/1294245104194998273,,,,,,,,0,,,,1603044162585,,,,จาบจ้วงสถาบัน
1294707148522262528,1294707148522262528,@Ponlapatz เห็นใจสือเถอะค่ะ เสนอข่าวม็อบจาบจ้วงสถาบัน สปอนเซอร์ถอนตัวหมด คนเลิกดู ช่องเจ๊ง ไครจะรับผิดชอบ เอาใจคนแค่ขนตูดหมา ได้ไม่คุ้มเสีย,1,th,1294221184117010432,2020-08-16 01:46:53 SE Asia Standard Time,2020-08-16,1:46:53,700,,1,0,0,765518401800245248,765518401800245248,NuuNeoI18,sしim ชม้อยศรี︻︼─一,https://twitter.com/NuuNeoI18/status/1294707148522262528,,,,,,,,0,,,,1603044162536,,,,จาบจ้วงสถาบัน
1295179916497924096,1295179916497924096,การเดินออกจากม๊อบในระหว่างการชุมนุมของกลุ่มเพนกวิ้นและรุ้ง สะท้อนว่ากลุ่มนี้ไม่แยแสต่อ 3 ข้อเรียกร้องของผู้ชุมนุมส่วนใหญ่ แต่มุ่งหมายสิ่งเดียวคือจาบจ้วงสถาบันกษัตริย์ อันนี้แย่ ไม่ดี น่ารังเกียจ,1,th,1295179916497924096,2020-08-17 09:05:30 SE Asia Standard Time,2020-08-17,9:05:30,700,,2,175,49,138726107,138726107,korporporsor,หนุมานห้ามทัพ,https://twitter.com/korporporsor/status/1295179916497924096,,,,,,,,0,,,,1603130931436,,,,จาบจ้วงสถาบัน
